,1137,10,9.60;,10.00;,10
,1508,9.98,9.90;,10.00;,9.75
,2509,9.6,9.73;,10.00;,10
,1107,9.4,8.72;,10.00;,7.75
,2157,9.33,9.36;,10.00;,8.37
,1469,9.2,9.56;,10.00;,8.87
,1376,9.08,9.06;,10.00;,8.62
,1168,9.06,9.03;,9.60;,8.25
,2485,9.03,9.16;,9.85;,7.5
,1302,9.01,9.33;,9.85;,0
,1752,9.01,8.96;,9.65;,8.75
,1221,9,8.67;,8.95;,7
,1834,8.88,9.61;,10.00;,7.75
,1994,8.83,9.66;,10.00;,8.5
,1040,8.73,9.50;,10.00;,8.25
,1357,8.73,9.45;,10.00;,8.12
,1758,8.71,9.67;,9.55;,10
,2300,8.68,8.93;,9.55;,9.5
,1156,8.6,9.76;,10.00;,7.37
,1151,8.56,9.45;,9.80;,8.12
,2080,8.55,9.41;,9.65;,6.87
,2256,8.53,9.11;,10.00;,7.5
,1916,8.53,8.18;,9.40;,5.37
,1921,8.51,9.47;,9.70;,8.87
,1027,8.49,9.26;,9.95;,9.87
,2540,8.46,9.11;,9.60;,8
,2332,8.45,8.08;,8.30;,7.87
,1334,8.41,9.25;,10.00;,9.12
,1272,8.4,9.88;,9.80;,8.5
,1224,8.3,8.95;,10.00;,8.5
,2626,8.23,9.45;,9.55;,9
,2468,8.21,9.78;,10.00;,9
,1976,8.17,9.06;,9.50;,7.12
,1406,8.15,9.55;,10.00;,6.25
,1822,8.13,8.18;,8.90;,8.25
,1124,8.05,8.53;,9.55;,9
,2086,8.03,8.76;,9.80;,8.62
,2536,7.98,8.76;,9.30;,8.5
,1177,7.9,8.88;,9.10;,9.37
,2095,7.9,7.31;,7.65;,6.75
,1363,7.76,9.13;,9.85;,8.62
,1910,7.75,8.82;,9.55;,8.5
,2162,7.68,9.21;,9.55;,8.12
,1940,7.6,8.18;,9.40;,7.75
,1650,7.56,9.60;,9.90;,6.87
